jahr,stadtkreis,quartier,staatenkleingruppe,anzahl
2023,Stadt,Altstadt,Afrika,NA
2023,Stadt,Altstadt,Amerika,22
2023,Stadt,Altstadt,Asien,29
2023,Stadt,Altstadt,Australien und Ozeanien,NA
2023,Stadt,Altstadt,Deutschland,130
2023,Stadt,Altstadt,Italien,47
2023,Stadt,Altstadt,Kosovo,NA
2023,Stadt,Altstadt,Mazedonien,NA
2023,Stadt,Altstadt,Nordeuropa,NA
2023,Stadt,Altstadt,Österreich,22
2023,Stadt,Altstadt,Osteuropa und Russland,23
2023,Stadt,Altstadt,Portugal,NA
2023,Stadt,Altstadt,Schweiz,1685
2023,Stadt,Altstadt,Serbien,NA
2023,Stadt,Altstadt,Spanien,NA
2023,Stadt,Altstadt,Türkei,NA
2023,Stadt,Altstadt,übriges Mitteleuropa,25
2023,Stadt,Altstadt,übriges Südosteuropa,NA
2023,Stadt,Altstadt,Westeuropa,47
2023,Veltheim,Blumenau,Afrika,76
2023,Veltheim,Blumenau,Amerika,30
2023,Veltheim,Blumenau,Asien,144
2023,Veltheim,Blumenau,Australien und Ozeanien,NA
2023,Veltheim,Blumenau,Bosnien u. Herzegowina,NA
2023,Veltheim,Blumenau,Deutschland,225
2023,Veltheim,Blumenau,Italien,161
2023,Veltheim,Blumenau,Kosovo,67
2023,Veltheim,Blumenau,Mazedonien,72
2023,Veltheim,Blumenau,Nordeuropa,NA
2023,Veltheim,Blumenau,Österreich,33
2023,Veltheim,Blumenau,Osteuropa und Russland,39
2023,Veltheim,Blumenau,Portugal,58
2023,Veltheim,Blumenau,Schweiz,3413
2023,Veltheim,Blumenau,Serbien,44
2023,Veltheim,Blumenau,Spanien,45
2023,Veltheim,Blumenau,Türkei,56
2023,Veltheim,Blumenau,übriges Mitteleuropa,57
2023,Veltheim,Blumenau,übriges Südosteuropa,26
2023,Veltheim,Blumenau,unbekannt,5
2023,Veltheim,Blumenau,Westeuropa,55
2023,Stadt,Brühlberg,Afrika,NA
2023,Stadt,Brühlberg,Amerika,NA
2023,Stadt,Brühlberg,Asien,38
2023,Stadt,Brühlberg,Australien und Ozeanien,NA
2023,Stadt,Brühlberg,Bosnien u. Herzegowina,NA
2023,Stadt,Brühlberg,Deutschland,138
2023,Stadt,Brühlberg,Italien,60
2023,Stadt,Brühlberg,Kosovo,NA
2023,Stadt,Brühlberg,Mazedonien,28
2023,Stadt,Brühlberg,Nordeuropa,NA
2023,Stadt,Brühlberg,Österreich,NA
2023,Stadt,Brühlberg,Osteuropa und Russland,23
2023,Stadt,Brühlberg,Portugal,22
2023,Stadt,Brühlberg,Schweiz,1751
2023,Stadt,Brühlberg,Serbien,NA
2023,Stadt,Brühlberg,Spanien,NA
2023,Stadt,Brühlberg,Türkei,NA
2023,Stadt,Brühlberg,übriges Mitteleuropa,42
2023,Stadt,Brühlberg,übriges Südosteuropa,NA
2023,Stadt,Brühlberg,Westeuropa,27
2023,Seen,Büelwiesen,Afrika,65
2023,Seen,Büelwiesen,Amerika,24
2023,Seen,Büelwiesen,Asien,177
2023,Seen,Büelwiesen,Bosnien u. Herzegowina,NA
2023,Seen,Büelwiesen,Deutschland,118
2023,Seen,Büelwiesen,Italien,159
2023,Seen,Büelwiesen,Kosovo,76
2023,Seen,Büelwiesen,Mazedonien,56
2023,Seen,Büelwiesen,Nordeuropa,NA
2023,Seen,Büelwiesen,Österreich,22
2023,Seen,Büelwiesen,Osteuropa und Russland,45
2023,Seen,Büelwiesen,Portugal,31
2023,Seen,Büelwiesen,Schweiz,2231
2023,Seen,Büelwiesen,Serbien,35
2023,Seen,Büelwiesen,Spanien,23
2023,Seen,Büelwiesen,Türkei,103
2023,Seen,Büelwiesen,übriges Mitteleuropa,57
2023,Seen,Büelwiesen,übriges Südosteuropa,31
2023,Seen,Büelwiesen,unbekannt,6
2023,Seen,Büelwiesen,Westeuropa,23
2023,Töss,Dättnau,Afrika,41
2023,Töss,Dättnau,Amerika,NA
2023,Töss,Dättnau,Asien,122
2023,Töss,Dättnau,Bosnien u. Herzegowina,NA
2023,Töss,Dättnau,Deutschland,150
2023,Töss,Dättnau,Italien,200
2023,Töss,Dättnau,Kosovo,73
2023,Töss,Dättnau,Mazedonien,147
2023,Töss,Dättnau,Nordeuropa,NA
2023,Töss,Dättnau,Österreich,23
2023,Töss,Dättnau,Osteuropa und Russland,NA
2023,Töss,Dättnau,Portugal,26
2023,Töss,Dättnau,Schweiz,2775
2023,Töss,Dättnau,Serbien,46
2023,Töss,Dättnau,Spanien,25
2023,Töss,Dättnau,Türkei,103
2023,Töss,Dättnau,übriges Mitteleuropa,56
2023,Töss,Dättnau,übriges Südosteuropa,NA
2023,Töss,Dättnau,Westeuropa,NA
2023,Mattenbach,Deutweg,Afrika,132
2023,Mattenbach,Deutweg,Amerika,67
2023,Mattenbach,Deutweg,Asien,168
2023,Mattenbach,Deutweg,Australien und Ozeanien,NA
2023,Mattenbach,Deutweg,Bosnien u. Herzegowina,NA
2023,Mattenbach,Deutweg,Deutschland,315
2023,Mattenbach,Deutweg,Italien,209
2023,Mattenbach,Deutweg,Kosovo,44
2023,Mattenbach,Deutweg,Mazedonien,105
2023,Mattenbach,Deutweg,Nordeuropa,24
2023,Mattenbach,Deutweg,Österreich,59
2023,Mattenbach,Deutweg,Osteuropa und Russland,187
2023,Mattenbach,Deutweg,Portugal,45
2023,Mattenbach,Deutweg,Schweiz,5541
2023,Mattenbach,Deutweg,Serbien,36
2023,Mattenbach,Deutweg,Spanien,66
2023,Mattenbach,Deutweg,Türkei,75
2023,Mattenbach,Deutweg,übriges Mitteleuropa,90
2023,Mattenbach,Deutweg,übriges Südosteuropa,27
2023,Mattenbach,Deutweg,unbekannt,7
2023,Mattenbach,Deutweg,Westeuropa,61
2023,Töss,Eichliacker,Afrika,123
2023,Töss,Eichliacker,Amerika,27
2023,Töss,Eichliacker,Asien,189
2023,Töss,Eichliacker,Australien und Ozeanien,NA
2023,Töss,Eichliacker,Bosnien u. Herzegowina,25
2023,Töss,Eichliacker,Deutschland,193
2023,Töss,Eichliacker,Italien,274
2023,Töss,Eichliacker,Kosovo,63
2023,Töss,Eichliacker,Mazedonien,150
2023,Töss,Eichliacker,Nordeuropa,NA
2023,Töss,Eichliacker,Österreich,37
2023,Töss,Eichliacker,Osteuropa und Russland,36
2023,Töss,Eichliacker,Portugal,57
2023,Töss,Eichliacker,Schweiz,2772
2023,Töss,Eichliacker,Serbien,52
2023,Töss,Eichliacker,Spanien,36
2023,Töss,Eichliacker,Türkei,153
2023,Töss,Eichliacker,übriges Mitteleuropa,68
2023,Töss,Eichliacker,übriges Südosteuropa,46
2023,Töss,Eichliacker,unbekannt,3
2023,Töss,Eichliacker,Westeuropa,32
2023,Seen,Eidberg,Asien,NA
2023,Seen,Eidberg,Deutschland,NA
2023,Seen,Eidberg,Italien,NA
2023,Seen,Eidberg,Osteuropa und Russland,NA
2023,Seen,Eidberg,Portugal,NA
2023,Seen,Eidberg,Schweiz,165
2023,Seen,Eidberg,übriges Südosteuropa,NA
2023,Mattenbach,Endliker,Afrika,69
2023,Mattenbach,Endliker,Amerika,NA
2023,Mattenbach,Endliker,Asien,85
2023,Mattenbach,Endliker,Bosnien u. Herzegowina,NA
2023,Mattenbach,Endliker,Deutschland,54
2023,Mattenbach,Endliker,Italien,135
2023,Mattenbach,Endliker,Kosovo,63
2023,Mattenbach,Endliker,Mazedonien,49
2023,Mattenbach,Endliker,Nordeuropa,NA
2023,Mattenbach,Endliker,Österreich,NA
2023,Mattenbach,Endliker,Osteuropa und Russland,26
2023,Mattenbach,Endliker,Portugal,NA
2023,Mattenbach,Endliker,Schweiz,1501
2023,Mattenbach,Endliker,Serbien,47
2023,Mattenbach,Endliker,Spanien,NA
2023,Mattenbach,Endliker,Türkei,68
2023,Mattenbach,Endliker,übriges Mitteleuropa,44
2023,Mattenbach,Endliker,übriges Südosteuropa,36
2023,Mattenbach,Endliker,unbekannt,3
2023,Mattenbach,Endliker,Westeuropa,NA
2023,Seen,Ganzenbühl,Afrika,55
2023,Seen,Ganzenbühl,Amerika,24
2023,Seen,Ganzenbühl,Asien,71
2023,Seen,Ganzenbühl,Bosnien u. Herzegowina,NA
2023,Seen,Ganzenbühl,Deutschland,126
2023,Seen,Ganzenbühl,Italien,165
2023,Seen,Ganzenbühl,Kosovo,44
2023,Seen,Ganzenbühl,Mazedonien,26
2023,Seen,Ganzenbühl,Nordeuropa,NA
2023,Seen,Ganzenbühl,Österreich,NA
2023,Seen,Ganzenbühl,Osteuropa und Russland,30
2023,Seen,Ganzenbühl,Portugal,NA
2023,Seen,Ganzenbühl,Schweiz,2303
2023,Seen,Ganzenbühl,Serbien,41
2023,Seen,Ganzenbühl,Spanien,NA
2023,Seen,Ganzenbühl,Türkei,80
2023,Seen,Ganzenbühl,übriges Mitteleuropa,40
2023,Seen,Ganzenbühl,übriges Südosteuropa,30
2023,Seen,Ganzenbühl,unbekannt,1
2023,Seen,Ganzenbühl,Westeuropa,23
2023,Seen,Gotzenwil,Amerika,NA
2023,Seen,Gotzenwil,Asien,NA
2023,Seen,Gotzenwil,Deutschland,NA
2023,Seen,Gotzenwil,Italien,NA
2023,Seen,Gotzenwil,Kosovo,NA
2023,Seen,Gotzenwil,Österreich,NA
2023,Seen,Gotzenwil,Osteuropa und Russland,NA
2023,Seen,Gotzenwil,Portugal,NA
2023,Seen,Gotzenwil,Schweiz,633
2023,Seen,Gotzenwil,Spanien,NA
2023,Seen,Gotzenwil,Türkei,NA
2023,Seen,Gotzenwil,übriges Mitteleuropa,NA
2023,Seen,Gotzenwil,übriges Südosteuropa,NA
2023,Seen,Gotzenwil,Westeuropa,NA
2023,Oberwinterthur,Grüze,Afrika,39
2023,Oberwinterthur,Grüze,Amerika,44
2023,Oberwinterthur,Grüze,Asien,154
2023,Oberwinterthur,Grüze,Bosnien u. Herzegowina,NA
2023,Oberwinterthur,Grüze,Deutschland,255
2023,Oberwinterthur,Grüze,Italien,135
2023,Oberwinterthur,Grüze,Kosovo,32
2023,Oberwinterthur,Grüze,Mazedonien,37
2023,Oberwinterthur,Grüze,Nordeuropa,NA
2023,Oberwinterthur,Grüze,Österreich,44
2023,Oberwinterthur,Grüze,Osteuropa und Russland,46
2023,Oberwinterthur,Grüze,Portugal,NA
2023,Oberwinterthur,Grüze,Schweiz,2525
2023,Oberwinterthur,Grüze,Serbien,NA
2023,Oberwinterthur,Grüze,Spanien,28
2023,Oberwinterthur,Grüze,Türkei,43
2023,Oberwinterthur,Grüze,übriges Mitteleuropa,86
2023,Oberwinterthur,Grüze,übriges Südosteuropa,44
2023,Oberwinterthur,Grüze,unbekannt,6
2023,Oberwinterthur,Grüze,Westeuropa,57
2023,Oberwinterthur,Guggenbühl,Afrika,282
2023,Oberwinterthur,Guggenbühl,Amerika,56
2023,Oberwinterthur,Guggenbühl,Asien,192
2023,Oberwinterthur,Guggenbühl,Bosnien u. Herzegowina,27
2023,Oberwinterthur,Guggenbühl,Deutschland,160
2023,Oberwinterthur,Guggenbühl,Italien,385
2023,Oberwinterthur,Guggenbühl,Kosovo,98
2023,Oberwinterthur,Guggenbühl,Mazedonien,228
2023,Oberwinterthur,Guggenbühl,Nordeuropa,NA
